"Id","orgs_id","name","url","full_name","size","stargazers_count","watchers_count","language","has_issues","forks_count","open_issues_count","forks","open_issues","watchers"
30611667,"2966316","rms-sdk-ui-for-windowsstore","https://api.github.com/repos/AzureAD/rms-sdk-ui-for-windowsstore","AzureAD/rms-sdk-ui-for-windowsstore",55,0,0,"C#","0",1,0,"1",0,0
30615598,"1844662","active-directory-dotnet-rms-windowsstore","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-rms-windowsstore","Azure-Samples/active-directory-dotnet-rms-windowsstore",49,1,1,"C#","0",0,0,"0",0,1
30974904,"1844662","active-directory-dotnet-webapp-openidconnect-aspnetcore","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore","Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore",2971,26,26,"C#","1",9,5,"1",5,26
30974981,"1844662","active-directory-dotnet-native-aspnetcore","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-aspnetcore","Azure-Samples/active-directory-dotnet-native-aspnetcore",152,16,16,"C#","1",6,6,"1",6,16
31398844,"1844662","active-directory-dotnet-webapp-webapi-openidconnect-aspnetcore","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect-aspnetcore","Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect-aspnetcore",3204,14,14,"C#","1",13,7,"1",7,14
32882110,"1844662","active-directory-cordova-multitarget","https://api.github.com/repos/Azure-Samples/active-directory-cordova-multitarget","Azure-Samples/active-directory-cordova-multitarget",392,5,5,"JavaScript","1",3,1,"1",1,5
32882132,"2966316","azure-activedirectory-library-for-cordova","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-cordova","AzureAD/azure-activedirectory-library-for-cordova",12423,22,22,"CSS","1",23,10,"1",10,22
34421716,"2966316","azure-activedirectory-cordova-plugin-graph","https://api.github.com/repos/AzureAD/azure-activedirectory-cordova-plugin-graph","AzureAD/azure-activedirectory-cordova-plugin-graph",1585,4,4,"JavaScript","1",2,0,"1",0,4
34530596,"1844662","active-directory-cordova-graphapi","https://api.github.com/repos/Azure-Samples/active-directory-cordova-graphapi","Azure-Samples/active-directory-cordova-graphapi",1495,4,4,"JavaScript","1",2,2,"1",2,4
34759283,"1844662","active-directory-dotnet-graphapi-reporting","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-graphapi-reporting","Azure-Samples/active-directory-dotnet-graphapi-reporting",26,1,1,"C#","1",3,0,"1",0,1
35913756,"1844662","active-directory-dotnet-native-uwp-wam","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-uwp-wam","Azure-Samples/active-directory-dotnet-native-uwp-wam",33,7,7,"C#","1",4,1,"1",1,7
37728349,"2966316","rms-sdk-for-cpp","https://api.github.com/repos/AzureAD/rms-sdk-for-cpp","AzureAD/rms-sdk-for-cpp",1250,10,10,"C++","1",3,3,"1",3,10
37744519,"2966316","azure-activedirectory-library-for-ruby","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-ruby","AzureAD/azure-activedirectory-library-for-ruby",284,11,11,"Ruby","1",9,11,"1",11,11
40319444,"2966316","omniauth-azure-activedirectory","https://api.github.com/repos/AzureAD/omniauth-azure-activedirectory","AzureAD/omniauth-azure-activedirectory",101,4,4,"Ruby","1",8,12,"1",12,4
41617645,"1844662","active-directory-node-webapp-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-node-webapp-openidconnect","Azure-Samples/active-directory-node-webapp-openidconnect",47,7,7,"JavaScript","1",11,7,"1",7,7
43620042,"2966316","azure-activedirectory-library-for-python","https://api.github.com/repos/AzureAD/azure-activedirectory-library-for-python","AzureAD/azure-activedirectory-library-for-python",429,18,18,"Python","1",10,1,"1",1,18
43914221,"1844662","active-directory-dotnet-deviceprofile","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-deviceprofile","Azure-Samples/active-directory-dotnet-deviceprofile",118,0,0,"C#","1",2,3,"1",3,0
44556479,"2966316","microsoft-authentication-library-for-dotnet","https://api.github.com/repos/AzureAD/microsoft-authentication-library-for-dotnet","AzureAD/microsoft-authentication-library-for-dotnet",1977,6,6,"C#","1",5,33,"1",33,6
44693831,"1844662","active-directory-dotnet-demo-tdlr","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-demo-tdlr","Azure-Samples/active-directory-dotnet-demo-tdlr",1970,7,7,"C#","1",6,6,"1",6,7
44696097,"1844662","active-directory-java-native-headless","https://api.github.com/repos/Azure-Samples/active-directory-java-native-headless","Azure-Samples/active-directory-java-native-headless",8,2,2,"Java","1",3,1,"1",1,2
44696219,"1844662","active-directory-java-webapp-openidconnect","https://api.github.com/repos/Azure-Samples/active-directory-java-webapp-openidconnect","Azure-Samples/active-directory-java-webapp-openidconnect",23,2,2,"Java","1",8,1,"1",1,2
45207474,"1844662","active-directory-xamarin-demo-tdlr","https://api.github.com/repos/Azure-Samples/active-directory-xamarin-demo-tdlr","Azure-Samples/active-directory-xamarin-demo-tdlr",384,2,2,"C#","1",0,0,"0",0,2
45716858,"1844662","active-directory-dotnet-demo-tdlr-usersync","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-demo-tdlr-usersync","Azure-Samples/active-directory-dotnet-demo-tdlr-usersync",1289,0,0,"C#","1",0,0,"0",0,0
54134792,"1844662","active-directory-android-native-oidcandroidlib-v2","https://api.github.com/repos/Azure-Samples/active-directory-android-native-oidcandroidlib-v2","Azure-Samples/active-directory-android-native-oidcandroidlib-v2",295,0,0,"Java","1",2,1,"1",1,0
54134888,"1844662","active-directory-ios-native-nxoauth2-v2","https://api.github.com/repos/Azure-Samples/active-directory-ios-native-nxoauth2-v2","Azure-Samples/active-directory-ios-native-nxoauth2-v2",196,0,0,"Objective-C","1",1,2,"1",2,0
54579694,"1844662","active-directory-b2c-xamarin-native","https://api.github.com/repos/Azure-Samples/active-directory-b2c-xamarin-native","Azure-Samples/active-directory-b2c-xamarin-native",630,13,13,"C#","1",5,2,"1",2,13
54579716,"1844662","active-directory-dotnet-webapp-openidconnect-v2","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-openidconnect-v2","Azure-Samples/active-directory-dotnet-webapp-openidconnect-v2",490,3,3,"C#","1",2,2,"1",2,3
54581812,"1844662","active-directory-xamarin-native-v2","https://api.github.com/repos/Azure-Samples/active-directory-xamarin-native-v2","Azure-Samples/active-directory-xamarin-native-v2",262,0,0,"C#","1",1,2,"1",2,0
56510516,"1844662","active-directory-dotnet-resource-manager-authorization","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-resource-manager-authorization","Azure-Samples/active-directory-dotnet-resource-manager-authorization",2,0,0,,"1",0,0,"0",0,0
